title,link,deadline,thumbnail,description,tags
United Leaders Global NextGen Women Leaders Fellowship 2025,https://unitedleadersglobal.org/nextgen-women-leaders-fellowship/,"May 30, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/United-Leaders-Global-NextGen-Women-Leaders-Fellowship-2025-768x554.jpg,"TheÂ United Leaders Global FellowshipÂ is a prestigious leadership development program designed to inspire, equip, and empower young women from around the world to take on leadership roles and drive social change in their communities and beyond.",
Google for Startups Growth Academy: AI for GovTech 2025,https://startup.google.com/programs/growth-academy/ai-for-govtech/emea/,"June 30, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Google-for-Startups-Growth-Academy-AI-for-GovTech-2025-768x511.jpg,"Google for Startups Growth Academy: AI for GovTech is a three-month program for EMEA-based Seed to Series A startups using AI to develop solutions that support governments and enhance communities in vital sectors such as agriculture, cybersecurity, education, energy, housing, transportation, and manufacturing.",
FIJ Adejumobi Adegbite Fellowship 2025 for Young Journalists in Nigeria,https://ng.usembassy.gov/u-s-consulate-and-foundation-for-investigative-journalism-launch-adejumobi-adegbite-fellowship-for-young-journalists/,"May 26, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/FIJ-Adejumobi-Adegbite-Fellowship-2025-for-Young-Journalists-in-Nigeria-768x371.jpg,"S. Consulate Lagosâ Information Specialist, who passed away in July 2023. With support from the U.S. Consulate General in Lagos, the fellowship is open to early-career journalists with an interest in investigative, multimedia, and data-driven reporting.",
"Amex Canadian Small Businesses Grant Program 2025 ($10,000 CAD grant)",https://dmz.torontomu.ca/amexbackingsmall,"June 9, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Amex-Canadian-Small-Businesses-Grant-Program-2025-768x455.jpg,"Funded by American Express Canada and administered by DMZ at Toronto Metropolitan University, 100 Canadian small businesses with community significance, owned by individuals experiencing economic hardship, will be selected to receive a $10,000 CAD grant and mentoring support from DMZ.",
"Alterna Financial Inclusion Granting Program 2025 (up to $20,000)",https://alterna.ca/en/business/community/granting-programs,"May 30, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Alterna-Financial-Inclusion-Granting-Program-2025-768x424.jpg,"Alterna is proud to offer the granting program annually to provide funding opportunities for registered charities, incorporated nonprofits, co-operatives without share capital, and unincorporated associations that positively impact communities.",
"Bridgewater x Global Citizen Forecasting the Future: A Modern Economics Challenge 2025 ($25,000 prize)",https://www.globalcitizen.org/en/programs/forecasting-the-future/,"August 1, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Bridgewater-x-Global-Citizen-Forecasting-the-Future-A-Modern-Economics-Challenge-2025-768x469.jpg,"We are living through one of the most significant global shifts in modern history, where new geopolitical, technological, and economic forces are reshaping the worldâtransitioning away from decades of globalization to a new world order – what Bridgewater calls modern mercantilism.",
"Alterna Community Granting Programs 2025 (up to $1,000)",https://alterna.ca/en/business/community/granting-programs,"May 30, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Alterna-Community-Granting-Programs-2025-768x578.jpg,"Alterna is proud to offer the granting program annually to provide funding opportunities for registered charities, incorporated nonprofits, co-operatives without share capital, and unincorporated associations that positively impact communities.",
SHEshisa Women in Business Accelerator 2025,https://innovate.durban/SHEShisa/,"June 13, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/SHEshisa-Women-in-Business-Accelerator-2025-768x490.jpg,"SHEshisa (loosely translated as âAccelerateâ) is a 6-month, sector agnostic accelerator programme designed to support female founders in and around Durban, Kwa-Zulu Natal. SHEshisa Accelerator has been carefully designed to provide a pro-active and safe learning space for female founders to innovate, adopt technology, enhance business skills and confidence and create new connections.",
Developing Engineering Leaders through Her (DELT-Her) Initiative 2025 for Nigerians,https://delther.pictt.gov.ng/,"July 31, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Developing-Engineering-Leaders-through-Her-DELT-Her-Initiative-2025-for-Nigerians-768x495.png,"Developing Engineering Leaders Through Her (DELT-Her) is an initiative that seeks to create opportunities for women in engineering, by attracting and supporting innovative engineering ideas which would ultimately be mentored and developed into startup companies.",
Umi Mentorship Program 2025 for African Mums,https://umiformothers.com/apply,"May 24, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Umi-Mentorship-Program-2025-768x524.png,"The Umi Mentorship Program is one of the flagship products at Umi. It helps new mothers and mums of children below 3 years old become better versions of themselves as mothers, wives, partners and professionals by tapping into the wealth of knowledge, experiences and network of mothers who have walked this path of motherhood and have excelled at it.",
