title,link,deadline,thumbnail
"Beauty Hut x Paystack Grant Program 2025 for Female Entrepreneurs in Nigeria (up to â¦2,000,000)",https://www.beautyhutafrica.com/,"May 31, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Beauty-Hut-x-Paystack-Grant-Program-for-Female-Entrepreneurs-768x444.jpg
SPIE International Day of Light Photo Contest 2025,https://spie.org/community-support/international-day-of-light/idl-photo-contest?SSO=1,"September 16, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/SPIE-International-Day-of-Light-Photo-Contest-2025-768x603.jpg
Safaricom Spark Accelerator Program Kenya 2025,https://www.safaricom.co.ke/sparkaccelerator,"May 31, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Safaricom-Spark-Accelerator-Program-Kenya-2025-768x432.jpg
BYI Indigenous and Black Youth Community Action Grant 2025,https://www.blackyouthinitiative.ca/grant,"May 25, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/BYI-Indigenous-and-Black-Youth-Community-Action-Grant-2025-768x595.png
Startup Canada Equal Slice Pitch Competitions 2025,https://www.startupcan.ca/startup-canada-equal-slice-program/,Ongoing,https://opportunitydesk.org/wp-content/uploads/2025/05/Startup-Canada-Equal-Slice-Pitch-Competitions-2025-768x401.jpg
ITU AI for Early Warnings for All Innovation Challenge 2025,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Pages/Events/2025/AI-EW4All-Innovation-Challenge.aspx,"May 26, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/ITU-AI-for-Early-Warnings-for-All-Innovation-Challenge-2025-768x402.png
UNDP/NIC Inclusive Insurance Innovation Challenge for Ghana 2025,https://nicundp3ic.com/,"May 31, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/UNDP-NIC-Inclusive-Insurance-Innovation-Challenge-for-Ghana-2025-768x432.jpg
Chinese Government Scholarship 2026/2027 for South Africans (Fully-funded),https://www.internationalscholarships.dhet.gov.za/index.php/scholarships/undergraduate-scholarships/461-china-chinese-government-scholarship-2026-2027,"September 30, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Chinese-Government-Scholarship-2026-2027-768x384.png
Call for Applications: SA Tech Challenge 2025,https://innovationbridge.info/ibportal/g20/tech-challenge,"June 30, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/SA-Tech-Challenge-2025-768x370.jpg
United Nations African Policy Innovation Fellowship 2025 (Stipend available),https://www.un.org/osaa/fellowship,"June 20, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/United-Nations-African-Policy-Innovation-Fellowship-2025-768x431.png
