title,link,deadline,thumbnail,description,organizer,location,eligibility,benefits,category
Cartier Women’s Initiative Science & Technology Pioneer Award 2026,https://www.cartierwomensinitiative.com/science-technology-pioneer-award,"June 24, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Cartier-Womens-Initiative-Science-Technology-Pioneer-Award-2026-768x485.png,The Cartier Women’s Initiative is an annual international entrepreneurship program that aims to drive change by empowering women impact entrepreneurs. The Science & Technology Pioneer awards recogn... read more,,,Eligibility,Cartier Women’s Initiative Science & Technology Pioneer Award 2026,
Cartier Women’s Initiative Regional Awards 2026 for Women Impact Entrepreneurs,https://www.cartierwomensinitiative.com/regional-awards,"June 24, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Cartier-Womens-Initiative-Regional-Awards-2026-768x423.png,The Cartier Women’s Initiative is an annual international entrepreneurship program that aims to drive change by empowering women impact entrepreneurs. The Regional awards recognize and fund talente... read more,,Africa,Eligibility,Cartier Women’s Initiative Regional Awards 2026,
"20 Hot Jobs Across Various Sectors  Currently Open – May 22, 2025",https://opportunitydesk.org/category/jobs-and-internships/,,https://opportunitydesk.org/wp-content/uploads/2025/05/Jude-OD-Blog-designs-3-768x427.png,"Are you ready to take the next step in your career journey? Whether you’re a fresh graduate, an experienced professional, or someone looking to pivot into a new field, now is the perfect time to ex... read more",,Kenya,"Applications are welcome from first- and second-tier candidates, particularly qualified female candidates as well as applications from the non-represented member countries of IOM. For all IOM vacancies, applications from qualified and eligible first-tier candidates are considered before those of qualified and eligible second-tier candidates in the selection process.",,
The SOCAP Global Fellowship Program 2025 for Social Impact Leaders,https://socapglobal.com/the-socap-fellowship-program/,"May 26, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/The-SOCAP-Fellowship-Program-2025-768x512.jpg,"The SOCAP Fellowship Program is designed to bridge the gap between visionary founders and strategic funders, creating meaningful connections that drive transformative change. This unique program em... read more",,Global,Eligibility,Benefits,
Embassy of France in Uganda Masters Scholarships in France 2025/2026,https://ug.ambafrance.org/Call-for-applications-Master-s-scholarships-in-France,"June 15, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Embassy-of-France-in-Uganda-Masters-Scholarships-in-France-2025-2026-768x601.jpg,"The Embassy of France in Uganda offers a scholarship, designed for young Ugandan students who already possess a bachelor’s degree in one of the concerned fields and who want to pursue their Master’... read more",,,Eligibility,,
"TikTok Small Biz Fest 2025 for U.S. Businesses ($2,000 in ad credits)",https://tiktoksmallbizfest.com/,"May 31, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/TikTok-Small-Biz-Fest-2025-for-U.S.-Businesses-768x444.jpeg,"Ready to take your business to the next level? Apply for your chance to be one of the 500 small businesses selected to receive $2,000 in TikTok Ad Credits and one-on-one onboarding support to super... read more",,,Eligibility,Benefits,
"Canadian Black Standard Rising Star Grants Program 2025 ($4,500 total grant)",https://www.linkedin.com/posts/canadian-black-standard_rising-star-grants-2025-activity-7329264867599626242-blFG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEs7GpEBIND9mAbY0lhKs7wNzewCs4JJIlg,"June 4, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Canadian-Black-Standard-Rising-Star-Grants-Program-2025.jpg,,,,Eligibility,Benefits,
"Vilcek Prizes for Creative Promise in Fashion & Design and Fashion & Culture 2026 ($50,000 prize)",https://vilcek.org/prizes/vilcek-prizes-for-creative-promise/creative-promise-prizes-arts/,"June 9, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Vilcek-Prizes-for-Creative-Promise-in-Fashion-Design-and-Fashion-Culture-2026-768x508.jpg,"This prestigious award recognizes the remarkable early-career achievements of young, immigrant fashion professionals who are reshaping the world of fashion through innovative design, cultural influ... read more",,,Eligibility,". This prestigious award recognizes the remarkable early-career achievements of young, immigrant fashion professionals who are reshaping the world of fashion through innovative design, cultural influence, and boundary-pushing creativity.",Not be a past recipient of the Vilcek Prizes for Creative Promise in any category.
Call for Activists: AMEL Institute Summer 2025,https://amel.limesurvey.net/847232?lang=en,"June 16, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/AMEL-Institute-Summer-2025-768x521.jpg,The AMEL Institute is a fully online academy that provides free training to young activists from anywhere in the Middle East and Africa. The AMEL Institute is the right program for you if you are a... read more,,Africa,Eligibility,,
Standard Chartered Women in Cyber Security Program 2025,https://womenincybersec.strathmore.edu/#/,Ongoing,https://opportunitydesk.org/wp-content/uploads/2025/05/Standard-Chartered-Women-in-Cyber-Security-Program-2025-768x387.jpg,"The program is a collaboration between Standard Chartered Bank and Strathmore University to encourage more women to pursue careers in cybersecurity. It provides mentorship, technical training, and ... read more",,,Eligibility,,
ITF-NECA Technical Skills Development Programme 2025 for Nigerians,https://tally.so/r/w4qpzb,Unspecified,https://opportunitydesk.org/wp-content/uploads/2025/05/ITF-NECA-Technical-Skills-Development-Programme-2025-for-Nigerians-768x514.jpg,"The Industrial Training Fund (ITF) and Nigeria Employers’ Consultative Association (NECA), in collaboration with Nigerian Breweries Plc, invite application from qualified young Nigerians of sound c... read more",,,Eligibility,Benefits,
Narratives Against Poverty in Africa Literary Prize 2025,https://narrativesofafricawritingprogramdotcom.wordpress.com/2025/05/06/291/,"June 30, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Narratives-Against-Poverty-in-Africa-Literary-Prize-2025-768x474.jpg,"An innovative literary initiative, the Narratives Against Poverty in Africa Literary Prize, has been unveiled, offering African writers a bold platform to tell their continent’s stories through a p... read more",,Africa,Eligibility,Benefits,
Crypto Presales for Beginners: A Guide to Getting Started,https://opportunitydesk.org/2025/05/22/crypto-presales-for-beginners-a-guide-to-getting-started/,,https://opportunitydesk.org/wp-content/uploads/2025/05/Crypto-Presales-for-Beginners-A-Guide-to-Getting-Started-768x512.jpg,"If you are just starting to get acquainted with cryptocurrencies, the topic of presales may seem complicated. In fact, this is one of the most accessible and understandable ways to enter the market... read more",,,,,
Value Creation Challenge 5 Incubation Program 2025 for Zimbabweans,https://vcc.co.zw/#about,"May 31, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Value-Creation-Challenge-5-Incubation-Program-2025-for-Zimbabweans-768x458.jpg,"The Value Creation Challenge 5 (VCC 5) is a nationwide incubation program of Eight2Five Innovation Hub powered by Old Mutual, in partnership with British Council, British Embassy, ZADT, SNV, Swiss ... read more",,,Eligibility,Benefits,
Microsoft SMME Capacity Building Programme (SCBP) 2025 for South Africa,https://www.22onsloane.co/microsoft-smme-capacity-building-programme-2/,"May 28, 2025",https://opportunitydesk.org/wp-content/uploads/2025/05/Microsoft-SMME-Capacity-Building-Programme-SCBP-2025-768x401.png,The SMME Capacity Building Programme (SCBP) is a twelve (12) month programme that supports businesses with relevant skills and knowledge to grow and sustain their business operations. The programme... read more,,Africa,Eligibility,Benefits,
